number,short_description,priority,state,assignment_group,assigned_to,sys_created_on,sys_updated_on,sys_id,age_days,total_hours,total_days,total_minutes,sla_breach
INC0043390,Facing issue uploading the macro enabled file on Oracle.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Suraj Parit,31-10-2025 06:25,14-11-2025 08:06,25513d6f3b3c76d0ae6be524c3e45a84,2,56.52,2.36,3391,TRUE
INC0043324,Calendar not viewingappointments,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Vishnu Chiluveri,31-10-2025 01:07,14-11-2025 08:06,25da30273b3476d0ae6be524c3e45a47,2,56.52,2.36,3391,TRUE
INC0043229,Microsoft Excel | Unable to Run Excel Macros – File Blocked by Security |,4 - Low,In Progress,WIT-ServiceDesk-L1,Zakir Shariff,30-10-2025 16:06,14-11-2025 08:06,262ff2173b3436d0ae6be524c3e45a63,2,56.52,2.36,3391,TRUE
INC0010227,Not working ,3 - Moderate,New,WIT-WVS-VDI,,28-07-2025 05:42,14-11-2025 08:06,264a648d3bcfe650399d5d0864e45aef,2,56.52,2.36,3391,TRUE
INC0040072,P3|hou12-cv01|Atlanta|Commvault(hou12-cv01) Aux copy backup is failing for ATT2-BK32-ATLANTA-ATT1-vm,4 - Low,On Hold,WIT-Backup,Nageswararao Puvvadi,22-10-2025 06:53,14-11-2025 08:13,275473e03b7cfa10ae6be524c3e45a47,2,56.41,2.35,3385,TRUE
INC0043370,outlook issue,4 - Low,In Progress,WIT-ServiceDesk-L1,Suchismita Nayak,31-10-2025 05:18,14-11-2025 08:06,2764b52f3bbc3ed0399d5d0864e45a25,2,56.52,2.36,3391,TRUE
INC0046139,test,4 - Low,New,WIT-ServiceNow-Admin,,11-11-2025 08:44,14-11-2025 08:06,279d07473b4572109faa1da985e45a02,2,56.52,2.36,3391,TRUE
INC0046140,For Inset and stay button ,4 - Low,In Progress,WIT-ServiceNow-Admin,Sunil Khalase,11-11-2025 08:47,14-11-2025 08:06,282e03c73b4572109faa1da985e45a44,2,56.52,2.36,3391,TRUE
INC0045007,Excel freezing regularly,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,05-11-2025 14:17,14-11-2025 08:06,28af11193b01be14ae6be524c3e45a22,2,56.52,2.36,3391,TRUE
INC0045823,Desbloquear visualizador do PDF.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Shiva Prakash,07-11-2025 12:57,14-11-2025 08:06,2901efb93b853294399d5d0864e45a1c,2,56.52,2.36,3391,TRUE
INC0043572,OBIE PI03 Report Problem,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Karamathullah Abdulali,31-10-2025 16:09,14-11-2025 08:06,29598cb33b387ad0ae6be524c3e45a4b,2,56.52,2.36,3391,TRUE
INC0045787,Printer reports an IP conflict,4 - Low,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,07-11-2025 10:50,14-11-2025 08:06,29d203713bc9fe54399d5d0864e45a91,2,56.52,2.36,3391,TRUE
INC0044566,AutoCAD 2024 showing an error to open,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ankush Mehta,04-11-2025 10:33,14-11-2025 08:06,2a13eff83bcd7e14399d5d0864e45a77,2,56.52,2.36,3391,TRUE
INC0042862,P3 | AUH| Abudhabi| Commvault  abz44-cv01| Database have failed due to checksum error WG1 in server R-DBS-AEDXEX-2,4 - Low,On Hold,WIT-SQL-DBA,Amarnath Vudatha,29-10-2025 16:05,14-11-2025 08:06,2a44310f3b78fe90ae6be524c3e45a35,2,56.52,2.35,3391,TRUE
INC0044640,Error after I updated the company name telling me to log an IT when I need to Send it for Approval,4 - Low,In Progress,WIT-AMS-APP-SUPPORT-MBPM-COGNOS,Firdowshi Rahaman,04-11-2025 13:42,14-11-2025 08:06,2a5e084d3b093a14ae6be524c3e45a91,2,56.52,2.35,3391,TRUE
INC0046050,Solarwinds Alert|P4|APAC | CHE01 | Chennai | India|Memory Utilization Alert: bcpvmw004.wood.chn.vcs Memory Usage Reached 90 %,4 - Low,In Progress,WIT-Monitoring-L1,Manasa Ramesh,08-11-2025 21:57,14-11-2025 08:06,2c36e2563b45be54ae6be524c3e45a8d,2,56.52,2.35,3391,TRUE
INC0044477,Unable to connect to desktops at Desk 3.135 and 3.133 at Perth Office on Level 3,4 - Low,In Progress,WIT-ServiceDesk-L1,Vishnu Chiluveri,04-11-2025 07:11,14-11-2025 08:06,2c44beb03b493e14399d5d0864e45a99,2,56.52,2.35,3391,TRUE
INC0045827,outlook has blocked access to links for the internet zone files,4 - Low,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,07-11-2025 13:06,14-11-2025 08:06,2c926b353b897a54ae6be524c3e45a4d,2,56.52,2.35,3391,TRUE
INC0042750,aspen hysys not responding,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Suchismita Nayak,29-10-2025 10:20,14-11-2025 08:06,2ca6ac473b7c7e90ae6be524c3e45a7c,2,56.52,2.35,3391,TRUE
INC0044683,I requested Adobe pro a month ago and Simon only seems to now have Adobe reader,4 - Low,In Progress,WIT-ServiceDesk-L1,Vamsy Krishna,04-11-2025 15:48,14-11-2025 08:06,2cbaecc13b417a14ae6be524c3e45ae5,2,56.52,2.35,3391,TRUE
INC0022835,Unable to combine PDF files using the Blue Beam revu,4 - Low,In Progress,WIT-AP-Support-Central,Graham Tucker,03-09-2025 08:02,14-11-2025 08:06,2cbca3f83b732210ae6be524c3e45ad8,2,56.52,2.35,3391,TRUE
INC0018343,P3 | HUL02-BK01-Mount Path Switched Online/Offline | hou12-cv01 ,4 - Low,On Hold,WIT-Backup,Sreenatha Reddy,20-08-2025 04:04,14-11-2025 08:06,2d7226903bef6a90399d5d0864e45a04,2,56.52,2.35,3391,TRUE
INC0015926,Voyager is down.,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,12-08-2025 04:21,14-11-2025 08:06,2de76d393b53ea10ae6be524c3e45ad5,2,56.52,2.35,3391,TRUE
INC0044350,Teams| Sing in issue in Phone,4 - Low,In Progress,WIT-ServiceDesk-L1,Nitesh Singh,04-11-2025 03:18,14-11-2025 08:06,2defb97c3bcd3614ae6be524c3e45ac4,2,56.52,2.35,3391,TRUE
INC0041776,Email Printing,4 - Low,In Progress,WIT-ServiceDesk-L1,Shiva Prakash,27-10-2025 09:41,14-11-2025 08:06,2e3a465a3bf07690399d5d0864e45a31,2,56.52,2.35,3391,TRUE
INC0045805,OLTC is not working,3 - Moderate,On Hold,WIT-AMS-APP-SUPPORT-COTS,Rita Galande,07-11-2025 12:07,14-11-2025 08:06,2ea59b7d3b457a54ae6be524c3e45abb,2,56.52,2.35,3391,TRUE
INC0043878,Unable to load journals into International,4 - Low,In Progress,WIT-ServiceDesk-L1,Veena Suresh,03-11-2025 01:12,14-11-2025 08:06,2ec850a03bc9bed0ae6be524c3e45ac8,2,56.52,2.35,3391,TRUE
INC0044725,"Storage issue  |  system storage is full, and the system is not functioning properly.",4 - Low,In Progress,WIT-ServiceDesk-L1,Vinay Samadi,04-11-2025 19:38,14-11-2025 08:06,2f20a5813b853254399d5d0864e45afa,2,56.52,2.35,3391,TRUE
INC0044517,Not able to download NAVISWORK SIMULATE from software center,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Surya Ayyarappan,04-11-2025 08:48,14-11-2025 08:06,2f3b433c3b49b614ae6be524c3e45a61,2,56.52,2.35,3391,TRUE
INC0044690,Hardware | Battery backup issue. ,4 - Low,In Progress,WIT-ServiceDesk-L1,Pooja Singh,04-11-2025 16:12,14-11-2025 08:06,2f5070893b817a14ae6be524c3e45af3,2,56.52,2.35,3391,TRUE
INC0044546,Dock station| Dock station not working,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Swathi Rangandale,04-11-2025 09:52,14-11-2025 08:06,2fb9df383b897e14399d5d0864e45a7c,2,56.52,2.35,3391,TRUE
INC0035934,Software does not appear in software center after 24 hours of approval,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Veena Suresh,10-10-2025 00:53,14-11-2025 08:06,2fcea8383be0f694399d5d0864e45a07,2,56.52,2.35,3391,TRUE
INC0044478,Application| Installation issue,4 - Low,In Progress,WIT-ServiceDesk-L1,Sowmya Sakhinana,04-11-2025 07:11,14-11-2025 08:06,3055fe783b4d7614ae6be524c3e45ae4,2,56.51,2.35,3391,TRUE
INC0015973,user not able to login,3 - Moderate,New,WIT-WVS-VDI,,12-08-2025 07:06,14-11-2025 08:06,30cd86b53b1fea10ae6be524c3e45a6b,2,56.51,2.35,3391,TRUE
INC0045729,Printer| a printer in the office is no longer working effectively,4 - Low,In Progress,WIT-ServiceDesk-L1,Vijay Ayyappan,07-11-2025 07:32,14-11-2025 08:06,31065ebd3b49f654ae6be524c3e45ab3,2,56.51,2.35,3391,TRUE
INC0044864,"Faulty monitor, lines on screen and unclear picture.",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ankush Mehta,05-11-2025 07:35,14-11-2025 08:06,31d348d13bc9fa14ae6be524c3e45a88,2,56.51,2.35,3391,TRUE
INC0028808,Drawing tools are disabled,3 - Moderate,In Progress,WIT-AP-Support-Central,Graham Tucker,19-09-2025 09:58,14-11-2025 08:07,31f166c63b003a54399d5d0864e45a07,2,56.51,2.35,3391,TRUE
INC0041698,Performance is very slow while working in Chennai server,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Suraj Parit,27-10-2025 07:20,14-11-2025 08:07,31f9e1de3b3cfe50ae6be524c3e45a75,2,56.51,2.35,3391,TRUE
INC0045883,P3|OAK-BK01|Mount Path went Offline|Houcv|,4 - Low,In Progress,WIT-Backup,Nageswararao Puvvadi,07-11-2025 15:48,14-11-2025 08:07,321800823b45ba54ae6be524c3e45a5f,2,56.51,2.35,3391,TRUE
INC0043987,Installation failed,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Keerthana Babu,03-11-2025 07:23,14-11-2025 08:07,32936dac3b4db614399d5d0864e45ac2,2,56.51,2.35,3391,TRUE
INC0046023,SolarWinds|P4| EMEA | ABZ44 | Aberdeen | GB|Memory Utilization Alert: ATT5-SP-SS01 Memory Usage Reached 93 %.,4 - Low,In Progress,WIT-Monitoring-L1,Udayvarma Alluri,08-11-2025 14:19,14-11-2025 08:07,32bcb8da3b497e54ae6be524c3e45a25,2,56.51,2.35,3391,TRUE
INC0036757,3DsMax 2025 Not working Properly,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Jahnavi Kadavakollu,13-10-2025 07:03,14-11-2025 08:07,3310a57d3ba4f2d4399d5d0864e45a3e,2,56.51,2.35,3391,TRUE
INC0037759,Laptop battery ,4 - Low,In Progress,WIT-ServiceDesk-L1,Varun Kumar,14-10-2025 19:42,14-11-2025 08:07,3367dd5a3b2cbe54ae6be524c3e45ac5,2,56.51,2.35,3391,TRUE
INC0019022,ENABLE TO ACCESS MY ORACLE TIMESHEET,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,21-08-2025 14:10,14-11-2025 08:07,337542303ba3aed0ae6be524c3e45a01,2,56.51,2.35,3391,TRUE
INC0044783,Account & Access| Windows 11 continually asks for my pin,4 - Low,In Progress,WIT-ServiceDesk-L1,Priya Salunke,05-11-2025 03:33,14-11-2025 08:07,342c47893b0dba14ae6be524c3e45abc,2,56.51,2.35,3391,TRUE
INC0022829,"P4| BN.Brunei.1.Kuala Belait| Journal upload issue, getting Microsoft visual basic error",4 - Low,In Progress,WIT-ServiceDesk-L1,Deepak Krishna,03-09-2025 07:37,14-11-2025 08:07,34c763f03b372210399d5d0864e45afc,2,56.51,2.35,3391,TRUE
INC0040951,Since the installation of the new hubs - we’ve been experiencing significant internet connectivity issues. We’re unable to connect to either the WAP89048 or Woo,4 - Low,In Progress,WIT-ServiceDesk-L1,Vijayan Krishna,24-10-2025 08:59,14-11-2025 08:07,3644ee113b387a50399d5d0864e45ab2,2,56.51,2.35,3391,TRUE
INC0043180,Ariel Performance Software | Getting an error when we opene the Ariel Performance Software 7,4 - Low,In Progress,WIT-ServiceDesk-L1,Pavan Manchala,30-10-2025 12:53,14-11-2025 08:07,3663929b3b70bad0399d5d0864e45a6a,2,56.51,2.35,3391,TRUE
INC0044263,"SolarWinds Alert|P4|EMEA | ABZ44 | Aberdeen | GB|""License Statistics"" of Application ""Service: License Statistics"" on ATT05p-XFM01 is Down",4 - Low,In Progress,WIT-Monitoring-L1,Thejesh Sudharshan,03-11-2025 18:55,14-11-2025 08:07,368c04b83b89f214ae6be524c3e45ae7,2,56.51,2.35,3391,TRUE
INC0042422,Desktop | Desktop icons rearranging issue,4 - Low,In Progress,WIT-ServiceDesk-L1,Kamalesh Gopalakrishnan,28-10-2025 14:02,14-11-2025 08:07,36af0cfe3bb8be90399d5d0864e45a0e,2,56.51,2.35,3391,TRUE
INC0044299,Consistent poor network connection in Stallion - dropped audio and Teams calls in conference rooms and hardwired at desk,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Satish Sangappa,03-11-2025 20:53,14-11-2025 08:07,36f6a4f43b013614ae6be524c3e45ad1,2,56.51,2.35,3391,TRUE
INC0035787,GatewayTimeout,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,09-10-2025 13:38,14-11-2025 08:07,3713de6c3becba14ae6be524c3e45ac4,2,56.51,2.35,3391,TRUE
INC0044771, Adobe Acrobat dc pro |User unable to install the Adobe Acrobat dc pro  from the software center,4 - Low,In Progress,WIT-ServiceDesk-L1,Hymavathi Gurram,05-11-2025 01:57,14-11-2025 08:07,3716f24d3b817254399d5d0864e45ad4,2,56.51,2.35,3391,TRUE
INC0046110,SolarWinds Alert | P4 | EMEA | BSG01 | GQ | Paseo Maritimo | Hardware Health Alert: Disk Drive Bay 1 Drive 1: In Critical Array on bsg01-vh01.woodplc.net ,4 - Low,In Progress,WIT-Monitoring-L1,Arpankumar Dutta,09-11-2025 07:06,14-11-2025 08:07,37a3a8aa3b453694399d5d0864e45acd,2,56.51,2.35,3391,TRUE
INC0044574,Office 365 | Mails sent to JP Morgans got bounce,4 - Low,In Progress,WIT-ServiceDesk-L1,Shiva Kumar,04-11-2025 11:07,14-11-2025 08:07,37a82bb03b81be14399d5d0864e45acc,2,56.51,2.35,3391,TRUE
INC0044497,Laptop is getting shut down every time whenever the charger is not connected with the laptop.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Jahnavi Kadavakollu,04-11-2025 07:54,14-11-2025 08:07,37ae72f83b0d3e14399d5d0864e45a77,2,56.51,2.35,3391,TRUE
INC0045828,tekla software's  indian environment not showing,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Surya Ayyarappan,07-11-2025 13:10,14-11-2025 08:07,37c36fb53bc53294399d5d0864e45aa7,2,56.51,2.35,3391,TRUE
INC0044531,Disply not working,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Swarnav Paul,04-11-2025 09:19,14-11-2025 08:07,3872d7b83b457e14399d5d0864e45a01,2,56.51,2.35,3391,TRUE
INC0044659,Password Expiry,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Deepak Krishna,04-11-2025 14:28,14-11-2025 08:07,3898dccd3bc1fe14399d5d0864e45a6e,2,56.51,2.35,3391,TRUE
INC0045095,NO FUNCIONA MICROFONO,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Malathi Bhaskar,05-11-2025 20:46,14-11-2025 08:07,38d8f6113b45fe14ae6be524c3e45a3d,2,56.51,2.35,3391,TRUE
INC0044960,Intalacion del plotter del piso 8,4 - Low,In Progress,WIT-ServiceDesk-L1,Sriram Sridharan,05-11-2025 12:45,14-11-2025 08:07,38ea8d193b493654399d5d0864e45a49,2,56.51,2.35,3391,TRUE
INC0022147,P3|AM ET|BR.RJ.Macae.4.RuaCireneHenriquePaes|Hardware|Headset,3 - Moderate,In Progress,WIT-LS-NCSA-BR-BRAZIL,Richardson Wandermurem,01-09-2025 13:04,14-11-2025 08:07,38efd6983bbbaa50399d5d0864e45a99,2,56.51,2.35,3390,TRUE
INC0044967,P3|AM CT|HOU12|Houston|US|hou12-cv01|Commvault(hou12-cv01) |Backups are progressing slow for the servers which are under media agent att2-bk31,4 - Low,In Progress,WIT-Backup,Maneesh Kaiprath,05-11-2025 13:14,14-11-2025 08:07,392c899d3b897e14ae6be524c3e45aaf,2,56.51,2.35,3390,TRUE
INC0045885,"can't see file preview?? i used to see it before but now it is not working, its only work if the file is inside onedrive",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Pooja Singh,07-11-2025 15:55,14-11-2025 08:07,39c840c23b417294399d5d0864e45a1a,2,56.51,2.35,3390,TRUE
INC0027970,P3 | APAC | AU.WA.Perth.3.Shell House | Hardware | Storage | RAM  | The laptop is consistently crashing due to insufficient RAM,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Mahathikakshya Mahathikakshya,17-09-2025 08:38,14-11-2025 08:07,39db735d3bc4fa14399d5d0864e45aa2,2,56.51,2.35,3390,TRUE
INC0037389,Inpex APL-L7 and MODS Connect are not available for software request,4 - Low,New,WIT-ServiceDesk-L1,,14-10-2025 07:18,14-11-2025 08:07,39fce64e3b24fa54ae6be524c3e45aa7,2,56.51,2.35,3390,TRUE
INC0021284,P3 | SGO20 | CL.SA.Santiago.4.IBMDataCenter | Physical Disk Failed at Enclosure 1 Slot 6 on SGO-DAS1 storage device,4 - Low,New,WIT-TSS,,28-08-2025 14:43,14-11-2025 08:07,3abdc2833b67ea50ae6be524c3e45a52,2,56.51,2.35,3390,TRUE
INC0045346,Touchpad| Laptop Touchpad is not working properly.,4 - Low,In Progress,WIT-ServiceDesk-L1,Shruti Kodiya,06-11-2025 15:42,14-11-2025 08:07,3b0732e53b853654ae6be524c3e45a9d,2,56.51,2.35,3390,TRUE
INC0045309,xps user is unable to log in to Documentum.,4 - Low,In Progress,WIT-ServiceDesk-L1,Sameer Bhuyan,06-11-2025 14:01,14-11-2025 08:07,3be5aa2d3b41fa54399d5d0864e45ab2,2,56.51,2.35,3390,TRUE
INC0045340,Bluebeam |The application is now asking for a license and product key; it was working fine before.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Harini Gopi,06-11-2025 15:03,14-11-2025 08:07,3bf2f2213b49fa54399d5d0864e45a75,2,56.51,2.35,3390,TRUE
INC0045865,"Intermittent access to Documentum, Time-Writing and the BMS.",4 - Low,In Progress,WIT-ServiceDesk-L1,Joyal Selvaraj,07-11-2025 14:43,14-11-2025 08:07,3c1873b53b4d3294399d5d0864e45acc,2,56.51,2.35,3390,TRUE
INC0027979,Bluebeam signatures not working,3 - Moderate,In Progress,WIT-AP-Support-Central,Graham Tucker,17-09-2025 09:15,14-11-2025 08:07,3c8404ed3bccf290ae6be524c3e45ae5,2,56.51,2.35,3390,TRUE
INC0046036,SolarWinds Alert | P4 | APAC | CHE01 | Chennai | India | Memory Utilization Alert: bcpvmw006.wood.chn.vcs Memory Usage Reached 91 %,4 - Low,In Progress,WIT-Monitoring-L1,Komala Krishnappa,08-11-2025 17:00,14-11-2025 08:07,3c91655e3b4d7e54ae6be524c3e45adc,2,56.51,2.35,3390,TRUE
INC0043575,Security group | Two requests to add and remove users to the Bluebeam AD group were unsuccessful,4 - Low,In Progress,WIT-ServiceDesk-L1,Sachin Birangaddi,31-10-2025 16:26,14-11-2025 08:07,3d0d447f3b387ad0ae6be524c3e45a56,2,56.51,2.35,3390,TRUE
INC0042226,Hardware|headset not working,4 - Low,In Progress,WIT-ServiceDesk-L1,Priya Salunke,28-10-2025 06:34,14-11-2025 08:07,3d89a6ae3b34fa90399d5d0864e45a76,2,56.5,2.35,3390,TRUE
INC0045673,SolarwindAlert|P4|EMEA | BKU | Baku | Azerbaijan|UPS Battery Status Alert: BAKUPS03 status is BatteryLow,4 - Low,In Progress,WIT-Monitoring-L1,Somesh Yarragudi,07-11-2025 03:26,14-11-2025 08:07,3e1e1d3d3bc9b654ae6be524c3e45a85,2,56.5,2.35,3390,TRUE
INC0045902,I need to open HTRI 9.3 to run some calc but it keeps telling me I have License issue so it won't open up,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Varun Kumar,07-11-2025 17:04,14-11-2025 08:07,3e59dc423b057294399d5d0864e45afb,2,56.5,2.35,3390,TRUE
INC0046096,Network drive| Unable to access the network drive RITM0082697,4 - Low,In Progress,WIT-ServiceDesk-L1,Vignesh Dhanasekaran,09-11-2025 05:13,14-11-2025 08:07,3f4a8c223b41fe54ae6be524c3e45a1c,2,56.5,2.35,3390,TRUE
INC0011323,New hire is unable to access Voyager,4 - Low,New,WIT-AP-OracleEBS-Voyager,,29-07-2025 17:19,14-11-2025 08:07,4034d4e93b8762d0399d5d0864e45a46,2,56.5,2.35,3390,TRUE
INC0040248,SolarWinds Alert | P4 | NCSA | ATT1 | Atlanta | US | Memory Utilization Alert: att1-vh01.woodplc.net Memory Usage Reached 90 %,4 - Low,In Progress,WIT-Monitoring-L1,Mushtaq Bijapurvala,22-10-2025 13:18,14-11-2025 08:07,406c09b03bf0be10ae6be524c3e45ad6,2,56.5,2.35,3390,TRUE
INC0020959,UNABLE TO ACCESS,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,27-08-2025 19:58,14-11-2025 08:07,406e46323b2b6650ae6be524c3e45aac,2,56.5,2.35,3390,TRUE
INC0045744,"facing lot of issues- laptop is not working now, unable to login now. Also having heating , storage and latency issues that leads to hamper my work",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sowmya Sakhinana,07-11-2025 08:14,14-11-2025 08:07,40bf12b53b89be54399d5d0864e45ad1,2,56.5,2.35,3390,TRUE
INC0038400,"AESSOP | Unable to open the files in the AESSOP application, getting an error.",3 - Moderate,In Progress,WIT-ServiceDesk-L1,Deeksha Yanamadala,16-10-2025 06:42,14-11-2025 08:07,40e7f0b63be0f210ae6be524c3e45a89,2,56.5,2.35,3390,TRUE
INC0046072,Solarwind Alert|P4| EMEA | AUH02 | Abu Dhabi | United Arab Emirates|Disk Utilization Alert: D:\ Label:New Volume  Serial Number 5834AB12 on AUH-AS1 has reached ,4 - Low,In Progress,WIT-Monitoring-L1,Somesh Yarragudi,09-11-2025 01:42,14-11-2025 08:07,419953123b4df294399d5d0864e45a84,2,56.5,2.35,3390,TRUE
INC0046123,SolarWinds alert|P4|NCSA | SCUS1 | San Antonio | US | SQL - Disk Utilization Alert: T:\ Label:SCUS1-SP-SQL01_T (Temp)  Serial Number B8DCBE19 on SCUS1-SP-SQL01 ,4 - Low,In Progress,WIT-Monitoring-L1,Abhilash Shivanna,09-11-2025 10:19,14-11-2025 08:07,41efcd623b013294ae6be524c3e45abf,2,56.5,2.35,3390,TRUE
INC0044341,Request status | User wants to know the request update RITM0077834,4 - Low,In Progress,WIT-ServiceDesk-L1,Vishnu Chiluveri,04-11-2025 01:52,14-11-2025 08:07,420bed3c3b893614ae6be524c3e45a16,2,56.5,2.35,3390,TRUE
INC0041826,Menu not visible fully for use. Set up required,4 - Low,In Progress,WIT-ServiceDesk-L1,Pavan Manchala,27-10-2025 11:06,14-11-2025 08:07,42bddede3b34b690399d5d0864e45ae6,2,56.5,2.35,3390,TRUE
INC0033102,"Laptop running slow, applications freezing",4 - Low,In Progress,WIT-ServiceDesk-L1,Rajasekar Samraj,01-10-2025 13:08,14-11-2025 08:07,43108d0e3b98fa90ae6be524c3e45af8,2,56.5,2.35,3390,TRUE
INC0045806,SolarWinds Alert | P4 | NCSA | ATT1 | Atlanta | US | Node Down Alert: ATT2-BK31 has changed state to Down at ATT1,4 - Low,In Progress,WIT-Monitoring-L1,Paarkavi Anbukarasu,07-11-2025 12:15,14-11-2025 08:07,432713393bc13294399d5d0864e45a05,2,56.5,2.35,3390,TRUE
INC0044386,Solaewinds alert|P4|NCSA | ATT1 | Atlanta | US|Disk Utilization Alert: G:\ Label:ATT1-SQL35_G  Serial Number 7474B050 on ATT1-SQL35 has reached to 95 %,4 - Low,In Progress,WIT-Monitoring-L1,Harshitha Jonnalagadda,04-11-2025 04:35,14-11-2025 08:07,435196383b817614ae6be524c3e45a50,2,56.5,2.35,3390,TRUE
INC0044680,Remote Desktop |Please can you reset remote desktop JS516Y1,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Shruti Kodiya,04-11-2025 15:30,14-11-2025 08:07,435728813b017a14ae6be524c3e45a4d,2,56.5,2.35,3390,TRUE
INC0013966,remote desktop service ,3 - Moderate,New,WIT-WVS-VDI,,06-08-2025 03:56,14-11-2025 08:07,443866733bc36294ae6be524c3e45a44,2,56.5,2.35,3390,TRUE
INC0045779,Bluebeam Revu not working,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Prasanna Medicharla,07-11-2025 10:25,14-11-2025 08:07,459c76393bc5fe54399d5d0864e45ae9,2,56.5,2.35,3390,TRUE
INC0027414,installation failed,3 - Moderate,In Progress,WIT-AP-Support-Central,Graham Tucker,16-09-2025 07:51,14-11-2025 08:07,46c7a2c53b047e50ae6be524c3e45a63,2,56.5,2.35,3390,TRUE
INC0045859,Software shows up but i can't installed from software center,4 - Low,In Progress,WIT-ServiceDesk-L1,Sujata Patra,07-11-2025 14:21,14-11-2025 08:07,47247fbd3bcd7a54ae6be524c3e45ac8,2,56.5,2.35,3390,TRUE
INC0040183,SolarWInds alert|P4|EMEA | UKI02 | London | GB|Disk Utilization Alert: H:\ Label:UKI02-AVDB01_H on UKI02-AVDB01 has reached to 95 %,4 - Low,In Progress,WIT-Monitoring-L1,Saibalaji Lankoti,22-10-2025 11:26,14-11-2025 08:07,47a230383b787e10ae6be524c3e45a01,2,56.5,2.35,3390,TRUE
INC0043503,no available licence,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Chayan Saini,31-10-2025 12:20,14-11-2025 08:07,47f197673bf8bed0399d5d0864e45aa6,2,56.5,2.35,3390,TRUE
INC0040804,Printer | User reported that print jobs require manual “Check Status” and “Override” at the printer to print.,4 - Low,In Progress,WIT-ServiceDesk-L1,Chethan Yogananda,23-10-2025 21:48,14-11-2025 08:07,47facc9d3bfc3650ae6be524c3e45a8a,2,56.5,2.35,3390,TRUE
INC0043355,laptop not booting,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ankush Mehta,31-10-2025 03:54,14-11-2025 08:07,4881a5673bb876d0ae6be524c3e45a30,2,56.5,2.35,3390,TRUE
INC0045285,Application shows no license available for the past week,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Shiva Prakash,06-11-2025 12:53,14-11-2025 08:07,4916dae93b45f254ae6be524c3e45a66,2,56.5,2.35,3390,TRUE
INC0037513,Windows Update issue,4 - Low,In Progress,WIT-ServiceDesk-L1,Rithvik Konereddy,14-10-2025 10:37,14-11-2025 08:07,4969db0e3ba83e54ae6be524c3e45abc,2,56.5,2.35,3390,TRUE
INC0044091,The application does not appear on my Software Center.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Sujata Patra,03-11-2025 11:03,14-11-2025 08:07,49906ee03b853a14399d5d0864e45a87,2,56.5,2.35,3390,TRUE
INC0046051,Solarwinds Alert |P4| EMEA | MDR04 | Madrid | ES|Interface Utilization Alert: Vlan205 · VM Production for node mdr04-e-esp-s-cor-01,4 - Low,In Progress,WIT-Monitoring-L1,Manasa Ramesh,08-11-2025 22:02,14-11-2025 08:07,4a4766d63b45be54ae6be524c3e45acd,2,56.5,2.35,3390,TRUE
INC0045295,"When opening documents, it automatically defaults to TRUEVIEW.",4 - Low,In Progress,WIT-ServiceDesk-L1,Surya Ayyarappan,06-11-2025 13:17,14-11-2025 08:07,4adbd6253b09f254ae6be524c3e45a86,2,56.5,2.35,3390,TRUE
INC0045359,Status of the Oracle request (RITM0081387),4 - Low,In Progress,WIT-ServiceDesk-L1,Patnam Lakshmi,06-11-2025 15:28,14-11-2025 08:07,4b3a32253b093654ae6be524c3e45ae5,2,56.5,2.35,3390,TRUE
